Ref,Val,Package,PosX,PosY,Rot,Side
"C47","4.7µF","C_0603_1608Metric",222.600000,-109.750000,-90.000000,top
"C48","100nF","C_0603_1608Metric",221.050000,-109.750000,-90.000000,top
"C49","4.7µF","C_0603_1608Metric",287.550000,-118.525000,-90.000000,top
"C50","100nF","C_0603_1608Metric",286.000000,-118.525000,-90.000000,top
"C51","4.7µF","C_0603_1608Metric",267.550000,-118.525000,-90.000000,top
"C52","100nF","C_0603_1608Metric",266.000000,-118.525000,-90.000000,top
"C53","4.7µF","C_0603_1608Metric",247.550000,-118.525000,-90.000000,top
"C54","100nF","C_0603_1608Metric",246.000000,-118.525000,-90.000000,top
"C55","4.7µF","C_0603_1608Metric",227.550000,-118.525000,-90.000000,top
"C56","100nF","C_0603_1608Metric",226.000000,-118.525000,-90.000000,top
"C57","4.7µF","C_0603_1608Metric",282.600000,-127.100000,-90.000000,top
"C58","100nF","C_0603_1608Metric",281.050000,-127.100000,-90.000000,top
"C59","4.7µF","C_0603_1608Metric",262.600000,-127.100000,-90.000000,top
"C60","100nF","C_0603_1608Metric",261.050000,-127.100000,-90.000000,top
"C61","4.7µF","C_0603_1608Metric",242.600000,-127.100000,-90.000000,top
"C62","100nF","C_0603_1608Metric",241.050000,-127.100000,-90.000000,top
"C63","4.7µF","C_0603_1608Metric",222.600000,-127.100000,-90.000000,top
"C64","100nF","C_0603_1608Metric",221.050000,-127.100000,-90.000000,top
"C65","1µF","C_0603_1608Metric",301.762500,-59.675000,180.000000,top
"C66","1µF","C_0603_1608Metric",298.090000,-63.190000,90.000000,top
"C67","100nF","C_0603_1608Metric",299.550000,-63.190000,90.000000,top
"C75","100nF","C_0603",307.660000,-89.670000,90.000000,top
"C79","10µF","C_0603_1608Metric",304.080000,-99.070000,90.000000,top
"C80","100nF","C_0603",302.640000,-99.070000,90.000000,top
"C82","1µF","C_0603_1608Metric",230.470000,-138.530000,90.000000,top
"C83","1µF","C_0603_1608Metric",296.975000,-99.050000,-90.000000,top
"C86","100nF","C_0603",299.630000,-131.830000,-90.000000,top
"C87","1µF","C_0603",301.090000,-131.830000,-90.000000,top
"D2","BAT54H,115","D_SOD-123",304.512500,-58.357500,90.000000,top
"P1","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",298.905000,-52.840000,-90.000000,top
"P2","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",275.120000,-52.840000,-90.000000,top
"P3","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",251.297500,-52.840000,-90.000000,top
"P4","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",227.405000,-52.840000,-90.000000,top
"P5","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",281.125000,-137.160000,90.000000,top
"P6","PH2-16-UA","PinHEADER_2x08_P2.54mm_Vertical",257.340000,-137.160000,90.000000,top
